<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-03-01 13:00:00,380010002,400000,800000,1
2024-03-01 13:00:00,380010003,-100000,100000,1
2024-03-01 13:00:00,380010004,400000,900000,1
2024-03-04 12:30:00,999060001,-139100000,-27900000,1
2024-03-05 10:45:00,250010009,-200000,-1100000,2
2024-03-05 11:15:00,724500002,53200000,54700000,1
2024-03-05 11:45:00,380500002,49300000,52200000,1
2024-03-05 11:50:00,250500002,48000000,48400000,1
2024-03-05 11:50:00,250500003,47700000,48100000,1
2024-03-05 11:55:00,276500002,48200000,46300000,2
2024-03-05 11:55:00,276500003,46100000,46300000,1
2024-03-05 12:00:00,380010021,500000,600000,1
2024-03-05 12:00:00,999500002,50000000,50200000,1
2024-03-05 12:00:00,999500003,48900000,49200000,1
2024-03-05 13:00:00,999030005,-200000,-900000,2
2024-03-05 13:00:00,999030006,-3200000,-8600000,2
2024-03-06 10:00:00,276010001,300000,6300000,1
2024-03-06 10:00:00,276010002,-2000000,3600000,2
2024-03-06 10:00:00,276010007,23600000,27600000,1
2024-03-06 10:00:00,276010025,19800000,22500000,1
2024-03-07 10:00:00,276010018,2900000,-11300000,2
2024-03-07 10:00:00,276010019,-1300000,-6000000,2
2024-03-08 10:00:00,276010010,-600000,1000000,1
2024-03-08 10:00:00,276010014,-300000,200000,1
2024-03-08 10:00:00,276010015,-7100000,-4400000,1
2024-03-08 10:45:00,250050003,-5584000,-7388000,2
2024-03-08 11:00:00,724010007,-2100000,-600000,1
2024-03-08 12:00:00,380010016,0,-1700000,2
2024-03-08 12:00:00,380010017,-15500000,-10700000,1
2024-03-08 13:00:00,999030002,1300000,1200000,2
2024-03-11 11:00:00,724010009,5100000,300000,2
2024-03-13 10:00:00,276010012,-200000,-100000,1
2024-03-13 10:00:00,276010013,-1300000,-3000000,2
2024-03-13 12:00:00,380010023,7600000,7400000,1
2024-03-13 13:00:00,999030007,1600000,-3200000,2
2024-03-13 13:00:00,999030008,-2100000,-6700000,2
2024-03-14 11:00:00,724010001,300000,400000,1
2024-03-14 16:30:00,276010024,32100000,29700000,2
2024-03-15 10:45:00,250010001,800000,900000,1
2024-03-15 10:45:00,250010002,2900000,3000000,1
2024-03-15 10:45:00,250010004,3100000,3200000,1
2024-03-15 12:00:00,380010003,100000,0,2
2024-03-15 12:00:00,380010004,900000,800000,2
2024-03-15 12:00:00,380010025,300000,0,2
2024-03-15 12:00:00,380010026,-2500000,700000,1
2024-03-15 13:00:00,380010014,0,-100000,2
2024-03-15 13:00:00,380010015,1200000,1000000,2
2024-03-15 14:00:00,380010007,2065000,2655000,1
2024-03-18 13:00:00,999030018,15000000,28100000,1
2024-03-18 13:00:00,999030019,-2300000,11400000,1
2024-03-19 13:00:00,999030009,5200000,3400000,2
2024-03-19 13:00:00,999030023,5400000,3100000,2
2024-03-20 10:00:00,276010015,-2700000,-4100000,2
2024-03-20 12:00:00,380010005,100000,-1200000,2
2024-03-20 12:00:00,380010006,-3600000,-3400000,1
2024-03-20 18:00:00,999040006,-14600000,-14900000,2
2024-03-21 10:45:00,250010013,98000000,102000000,1
2024-03-21 11:15:00,250500001,46100000,45800000,2
2024-03-21 11:15:00,250500002,47200000,47800000,1
2024-03-21 11:15:00,250500003,47000000,47700000,1
2024-03-21 11:30:00,276500001,38100000,41600000,1
2024-03-21 11:30:00,276500002,47400000,49800000,1
2024-03-21 11:30:00,276500003,47100000,47400000,1
2024-03-21 12:00:00,999010016,30300000,39400000,1
2024-03-21 12:00:00,999500001,47100000,45700000,2
2024-03-21 12:00:00,999500002,49800000,51100000,1
2024-03-21 12:00:00,999500003,49800000,49900000,1
2024-03-22 10:00:00,276010003,-100000,-1300000,1
2024-03-22 10:00:00,276010004,-13000000,-5600000,2
2024-03-22 10:00:00,276010005,-100000,-300000,2
2024-03-22 10:00:00,276010006,-2300000,1700000,1
2024-03-22 12:30:00,276030001,82700000,87500000,1
2024-03-22 12:30:00,276030002,86800000,88100000,1
2024-03-22 12:30:00,276030003,86300000,87800000,1
2024-03-25 11:00:00,724010008,-2800000,-8200000,2
2024-03-26 11:00:00,724010005,200000,600000,1
2024-03-26 11:00:00,724010006,1900000,2000000,1
2024-03-27 10:45:00,250010007,89000000,91000000,1
2024-03-27 12:00:00,724040001,2866000,5130000,1
2024-03-27 13:00:00,999040003,-9100000,-8800000,1
2024-03-27 13:00:00,999040004,5600000,6300000,1
2024-03-27 13:00:00,999040005,94200000,96300000,1
2024-03-27 13:00:00,999040007,15300000,12300000,2
2024-03-27 13:00:00,999040008,4800000,5600000,1
2024-03-27 15:00:00,724080001,-5800000,-5400000,1
2024-03-28 10:00:00,276010016,-700000,-1900000,2
2024-03-28 10:00:00,276010017,2300000,-2700000,2
2024-03-28 11:55:00,276060002,5800000,5900000,2
2024-03-28 11:55:00,276060003,2781000,2769000,1
2024-03-28 11:55:00,276060004,2729000,2719000,1
2024-03-28 12:00:00,999010018,300000,400000,1
2024-03-28 12:00:00,999010019,200000,300000,1
2024-03-28 12:00:00,999010026,900000,400000,2
2024-03-28 12:00:00,999010027,1000000,700000,2
2024-03-28 12:00:00,380010018,89100000,88600000,2
2024-03-28 12:00:00,380010019,98500000,96500000,2
2024-03-28 14:00:00,380010016,-900000,-1000000,2
2024-03-28 14:00:00,380010017,-11100000,-10800000,1
2024-03-29 10:45:00,250010001,500000,200000,2
2024-03-29 10:45:00,250010002,3200000,2300000,2
2024-03-29 10:45:00,250010003,0,300000,1
2024-03-29 10:45:00,250010004,3300000,2400000,2
2024-03-29 10:45:00,250010008,-300000,0,1
2024-03-29 10:45:00,250010010,-2200000,-1700000,1
2024-03-29 13:00:00,380010001,-100000,100000,1
2024-03-29 13:00:00,380010002,200000,1300000,1
2024-03-29 13:00:00,380010003,900000,1200000,1
2024-03-29 13:00:00,380010004,500000,1300000,1
2024-04-02 10:15:00,724500001,52000000,51400000,2
2024-04-02 10:45:00,380500001,49700000,50400000,1
2024-04-02 10:50:00,250500001,45800000,46200000,1
2024-04-02 10:55:00,276500001,41600000,41900000,1
2024-04-02 11:00:00,999500001,45700000,46100000,1
2024-04-02 15:00:00,276010020,300000,400000,1
2024-04-02 15:00:00,276010021,2100000,2200000,1
2024-04-02 15:00:00,276010022,300000,600000,1
2024-04-02 15:00:00,276010023,1800000,2300000,1
2024-04-03 11:00:00,380010022,7200000,7500000,2
2024-04-04 10:15:00,724500002,56000000,56100000,1
2024-04-04 10:45:00,380500002,53300000,54600000,1
2024-04-04 10:50:00,250500002,47800000,48300000,1
2024-04-04 10:50:00,250500003,47700000,48300000,1
2024-04-04 10:55:00,276500002,49800000,50100000,1
2024-04-04 10:55:00,276500003,47400000,50100000,1
2024-04-04 11:00:00,999500002,51100000,51500000,1
2024-04-04 11:00:00,999500003,49900000,50300000,1
2024-04-05 09:00:00,276010003,-400000,-1200000,1
2024-04-05 09:00:00,276010004,-8300000,-7700000,2
2024-04-05 09:00:00,276010005,-200000,-300000,2
2024-04-05 09:00:00,276010006,-1300000,900000,1
2024-04-05 09:00:00,276010018,-5200000,200000,1
2024-04-05 09:00:00,276010019,-3700000,-10600000,2
2024-04-05 09:45:00,250010009,300000,200000,2
2024-04-05 12:00:00,380010024,3800000,5500000,1
2024-04-08 09:00:00,276010010,800000,2100000,1
2024-04-08 09:00:00,276010011,-5200000,-4900000,1
2024-04-08 09:00:00,276010001,2700000,-2000000,2
2024-04-08 09:00:00,276010002,1500000,3200000,2
2024-04-08 09:00:00,276010007,27100000,21400000,2
2024-04-08 11:30:00,999060001,-41000000,-5900000,1
2024-04-09 09:45:00,250050003,-5765000,-5244000,1
2024-04-10 11:00:00,380010015,500000,2400000,1
2024-04-11 11:00:00,380010005,-100000,100000,1
2024-04-11 11:00:00,380010006,-1700000,-3100000,2
2024-04-11 15:30:00,276010024,30100000,29800000,2
